id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense
1,bulbasaur,1,0.7,6.9,64,grass,poison,45,49,49,45,65,65
2,ivysaur,1,1.0,13.0,142,grass,poison,60,62,63,60,80,80
3,venusaur,1,2.0,100.0,236,grass,poison,80,82,83,80,100,100
4,charmander,1,0.6,8.5,62,fire,,39,52,43,65,60,50
5,charmeleon,1,1.1,19.0,142,fire,,58,64,58,80,80,65
6,charizard,1,1.7,90.5,240,fire,flying,78,84,78,100,109,85
7,squirtle,1,0.5,9.0,63,water,,44,48,65,43,50,64
8,wartortle,1,1.0,22.5,142,water,,59,63,80,58,65,80
9,blastoise,1,1.6,85.5,239,water,,79,83,100,78,85,105
10,caterpie,1,0.3,2.9,39,bug,,45,30,35,45,20,20
11,metapod,1,0.7,9.9,72,bug,,50,20,55,30,25,25
12,butterfree,1,1.1,32.0,178,bug,flying,60,45,50,70,90,80
13,weedle,1,0.3,3.2,39,bug,poison,40,35,30,50,20,20
14,kakuna,1,0.6,10.0,72,bug,poison,45,25,50,35,25,25
15,beedrill,1,1.0,29.5,178,bug,poison,65,90,40,75,45,80
16,pidgey,1,0.3,1.8,50,normal,flying,40,45,40,56,35,35
17,pidgeotto,1,1.1,30.0,122,normal,flying,63,60,55,71,50,50
18,pidgeot,1,1.5,39.5,216,normal,flying,83,80,75,101,70,70
19,rattata,1,0.3,3.5,51,normal,,30,56,35,72,25,35
20,raticate,1,0.7,18.5,145,normal,,55,81,60,97,50,70
21,spearow,1,0.3,2.0,52,normal,flying,40,60,30,70,31,31
22,fearow,1,1.2,38.0,155,normal,flying,65,90,65,100,61,61
23,ekans,1,2.0,6.9,58,poison,,35,60,44,55,40,54
24,arbok,1,3.5,65.0,157,poison,,60,95,69,80,65,79
25,pikachu,1,0.4,6.0,112,electric,,35,55,40,90,50,50
26,raichu,1,0.8,30.0,218,electric,,60,90,55,110,90,80
27,sandshrew,1,0.6,12.0,60,ground,,50,75,85,40,20,30
28,sandslash,1,1.0,29.5,158,ground,,75,100,110,65,45,55
29,nidoran-f,1,0.4,7.0,55,poison,,55,47,52,41,40,40
30,nidorina,1,0.8,20.0,128,poison,,70,62,67,56,55,55
31,nidoqueen,1,1.3,60.0,227,poison,ground,90,92,87,76,75,85
32,nidoran-m,1,0.5,9.0,55,poison,,46,57,40,50,40,40
33,nidorino,1,0.9,19.5,128,poison,,61,72,57,65,55,55
34,nidoking,1,1.4,62.0,227,poison,ground,81,102,77,85,85,75
35,clefairy,1,0.6,7.5,113,fairy,,70,45,48,35,60,65
36,clefable,1,1.3,40.0,217,fairy,,95,70,73,60,95,90
37,vulpix,1,0.6,9.9,60,fire,,38,41,40,65,50,65
38,ninetales,1,1.1,19.9,177,fire,,73,76,75,100,81,100
39,jigglypuff,1,0.5,5.5,95,normal,fairy,115,45,20,20,45,25
40,wigglytuff,1,1.0,12.0,196,normal,fairy,140,70,45,45,85,50
41,zubat,1,0.8,7.5,49,poison,flying,40,45,35,55,30,40
42,golbat,1,1.6,55.0,159,poison,flying,75,80,70,90,65,75
43,oddish,1,0.5,5.4,64,grass,poison,45,50,55,30,75,65
44,gloom,1,0.8,8.6,138,grass,poison,60,65,70,40,85,75
45,vileplume,1,1.2,18.6,221,grass,poison,75,80,85,50,110,90
46,paras,1,0.3,5.4,57,bug,grass,35,70,55,25,45,55
47,parasect,1,1.0,29.5,142,bug,grass,60,95,80,30,60,80
48,venonat,1,1.0,30.0,61,bug,poison,60,55,50,45,40,55
49,venomoth,1,1.5,12.5,158,bug,poison,70,65,60,90,90,75
50,diglett,1,0.2,0.8,53,ground,,10,55,25,95,35,45
51,dugtrio,1,0.7,33.3,149,ground,,35,100,50,120,50,70
52,meowth,1,0.4,4.2,58,normal,,40,45,35,90,40,40
53,persian,1,1.0,32.0,154,normal,,65,70,60,115,65,65
54,psyduck,1,0.8,19.6,64,water,,50,52,48,55,65,50
55,golduck,1,1.7,76.6,175,water,,80,82,78,85,95,80
56,mankey,1,0.5,28.0,61,fighting,,40,80,35,70,35,45
57,primeape,1,1.0,32.0,159,fighting,,65,105,60,95,60,70
58,growlithe,1,0.7,19.0,70,fire,,55,70,45,60,70,50
59,arcanine,1,1.9,155.0,194,fire,,90,110,80,95,100,80
60,poliwag,1,0.6,12.4,60,water,,40,50,40,90,40,40
61,poliwhirl,1,1.0,20.0,135,water,,65,65,65,90,50,50
62,poliwrath,1,1.3,54.0,230,water,fighting,90,95,95,70,70,90
63,abra,1,0.9,19.5,62,psychic,,25,20,15,90,105,55
64,kadabra,1,1.3,56.5,140,psychic,,40,35,30,105,120,70
65,alakazam,1,1.5,48.0,225,psychic,,55,50,45,120,135,95
66,machop,1,0.8,19.5,61,fighting,,70,80,50,35,35,35
67,machoke,1,1.5,70.5,142,fighting,,80,100,70,45,50,60
68,machamp,1,1.6,130.0,227,fighting,,90,130,80,55,65,85
69,bellsprout,1,0.7,4.0,60,grass,poison,50,75,35,40,70,30
70,weepinbell,1,1.0,6.4,137,grass,poison,65,90,50,55,85,45
71,victreebel,1,1.7,15.5,221,grass,poison,80,105,65,70,100,70
72,tentacool,1,0.9,45.5,67,water,poison,40,40,35,70,50,100
73,tentacruel,1,1.6,55.0,180,water,poison,80,70,65,100,80,120
74,geodude,1,0.4,20.0,60,rock,ground,40,80,100,20,30,30
75,graveler,1,1.0,105.0,137,rock,ground,55,95,115,35,45,45
76,golem,1,1.4,300.0,223,rock,ground,80,120,130,45,55,65
77,ponyta,1,1.0,30.0,82,fire,,50,85,55,90,65,65
78,rapidash,1,1.7,95.0,175,fire,,65,100,70,105,80,80
79,slowpoke,1,1.2,36.0,63,water,psychic,90,65,65,15,40,40
80,slowbro,1,1.6,78.5,172,water,psychic,95,75,110,30,100,80
81,magnemite,1,0.3,6.0,65,electric,steel,25,35,70,45,95,55
82,magneton,1,1.0,60.0,163,electric,steel,50,60,95,70,120,70
83,farfetchd,1,0.8,15.0,132,normal,flying,52,90,55,60,58,62
84,doduo,1,1.4,39.2,62,normal,flying,35,85,45,75,35,35
85,dodrio,1,1.8,85.2,165,normal,flying,60,110,70,110,60,60
86,seel,1,1.1,90.0,65,water,,65,45,55,45,45,70
87,dewgong,1,1.7,120.0,166,water,ice,90,70,80,70,70,95
88,grimer,1,0.9,30.0,65,poison,,80,80,50,25,40,50
89,muk,1,1.2,30.0,175,poison,,105,105,75,50,65,100
90,shellder,1,0.3,4.0,61,water,,30,65,100,40,45,25
91,cloyster,1,1.5,132.5,184,water,ice,50,95,180,70,85,45
92,gastly,1,1.3,0.1,62,ghost,poison,30,35,30,80,100,35
93,haunter,1,1.6,0.1,142,ghost,poison,45,50,45,95,115,55
94,gengar,1,1.5,40.5,225,ghost,poison,60,65,60,110,130,75
95,onix,1,8.8,210.0,77,rock,ground,35,45,160,70,30,45
96,drowzee,1,1.0,32.4,66,psychic,,60,48,45,42,43,90
97,hypno,1,1.6,75.6,169,psychic,,85,73,70,67,73,115
98,krabby,1,0.4,6.5,65,water,,30,105,90,50,25,25
99,kingler,1,1.3,60.0,166,water,,55,130,115,75,50,50
100,voltorb,1,0.5,10.4,66,electric,,40,30,50,100,55,55
101,electrode,1,1.2,66.6,172,electric,,60,50,70,150,80,80
102,exeggcute,1,0.4,2.5,65,grass,psychic,60,40,80,40,60,45
103,exeggutor,1,2.0,120.0,186,grass,psychic,95,95,85,55,125,75
104,cubone,1,0.4,6.5,64,ground,,50,50,95,35,40,50
105,marowak,1,1.0,45.0,149,ground,,60,80,110,45,50,80
106,hitmonlee,1,1.5,49.8,159,fighting,,50,120,53,87,35,110
107,hitmonchan,1,1.4,50.2,159,fighting,,50,105,79,76,35,110
108,lickitung,1,1.2,65.5,77,normal,,90,55,75,30,60,75
109,koffing,1,0.6,1.0,68,poison,,40,65,95,35,60,45
110,weezing,1,1.2,9.5,172,poison,,65,90,120,60,85,70
111,rhyhorn,1,1.0,115.0,69,ground,rock,80,85,95,25,30,30
112,rhydon,1,1.9,120.0,170,ground,rock,105,130,120,40,45,45
113,chansey,1,1.1,34.6,395,normal,,250,5,5,50,35,105
114,tangela,1,1.0,35.0,87,grass,,65,55,115,60,100,40
115,kangaskhan,1,2.2,80.0,172,normal,,105,95,80,90,40,80
116,horsea,1,0.4,8.0,59,water,,30,40,70,60,70,25
117,seadra,1,1.2,25.0,154,water,,55,65,95,85,95,45
118,goldeen,1,0.6,15.0,64,water,,45,67,60,63,35,50
119,seaking,1,1.3,39.0,158,water,,80,92,65,68,65,80
120,staryu,1,0.8,34.5,68,water,,30,45,55,85,70,55
121,starmie,1,1.1,80.0,182,water,psychic,60,75,85,115,100,85
122,mr-mime,1,1.3,54.5,161,psychic,fairy,40,45,65,90,100,120
123,scyther,1,1.5,56.0,100,bug,flying,70,110,80,105,55,80
124,jynx,1,1.4,40.6,159,ice,psychic,65,50,35,95,115,95
125,electabuzz,1,1.1,30.0,172,electric,,65,83,57,105,95,85
126,magmar,1,1.3,44.5,173,fire,,65,95,57,93,100,85
127,pinsir,1,1.5,55.0,175,bug,,65,125,100,85,55,70
128,tauros,1,1.4,88.4,172,normal,,75,100,95,110,40,70
129,magikarp,1,0.9,10.0,40,water,,20,10,55,80,15,20
130,gyarados,1,6.5,235.0,189,water,flying,95,125,79,81,60,100
131,lapras,1,2.5,220.0,187,water,ice,130,85,80,60,85,95
132,ditto,1,0.3,4.0,101,normal,,48,48,48,48,48,48
133,eevee,1,0.3,6.5,65,normal,,55,55,50,55,45,65
134,vaporeon,1,1.0,29.0,184,water,,130,65,60,65,110,95
135,jolteon,1,0.8,24.5,184,electric,,65,65,60,130,110,95
136,flareon,1,0.9,25.0,184,fire,,65,130,60,65,95,110
137,porygon,1,0.8,36.5,79,normal,,65,60,70,40,85,75
138,omanyte,1,0.4,7.5,71,rock,water,35,40,100,35,90,55
139,omastar,1,1.0,35.0,173,rock,water,70,60,125,55,115,70
140,kabuto,1,0.5,11.5,71,rock,water,30,80,90,55,55,45
141,kabutops,1,1.3,40.5,173,rock,water,60,115,105,80,65,70
142,aerodactyl,1,1.8,59.0,180,rock,flying,80,105,65,130,60,75
143,snorlax,1,2.1,460.0,189,normal,,160,110,65,30,65,110
144,articuno,1,1.7,55.4,261,ice,flying,90,85,100,85,95,125
145,zapdos,1,1.6,52.6,261,electric,flying,90,90,85,100,125,90
146,moltres,1,2.0,60.0,261,fire,flying,90,100,90,90,125,85
147,dratini,1,1.8,3.3,60,dragon,,41,64,45,50,50,50
148,dragonair,1,4.0,16.5,147,dragon,,61,84,65,70,70,70
149,dragonite,1,2.2,210.0,270,dragon,flying,91,134,95,80,100,100
150,mewtwo,1,2.0,122.0,306,psychic,,106,110,90,130,154,90
151,mew,1,0.4,4.0,270,psychic,,100,100,100,100,100,100
152,chikorita,2,0.9,6.4,64,grass,,45,49,65,45,49,65
153,bayleef,2,1.2,15.8,142,grass,,60,62,80,60,63,80
154,meganium,2,1.8,100.5,236,grass,,80,82,100,80,83,100
155,cyndaquil,2,0.5,7.9,62,fire,,39,52,43,65,60,50
156,quilava,2,0.9,19.0,142,fire,,58,64,58,80,80,65
157,typhlosion,2,1.7,79.5,240,fire,,78,84,78,100,109,85
158,totodile,2,0.6,9.5,63,water,,50,65,64,43,44,48
159,croconaw,2,1.1,25.0,142,water,,65,80,80,58,59,63
160,feraligatr,2,2.3,88.8,239,water,,85,105,100,78,79,83
161,sentret,2,0.8,6.0,43,normal,,35,46,34,20,35,45
162,furret,2,1.8,32.5,145,normal,,85,76,64,90,45,55
163,hoothoot,2,0.7,21.2,52,normal,flying,60,30,30,50,36,56
164,noctowl,2,1.6,40.8,158,normal,flying,100,50,50,70,86,96
165,ledyba,2,1.0,10.8,53,bug,flying,40,20,30,55,40,80
166,ledian,2,1.4,35.6,137,bug,flying,55,35,50,85,55,110
167,spinarak,2,0.5,8.5,50,bug,poison,40,60,40,30,40,40
168,ariados,2,1.1,33.5,140,bug,poison,70,90,70,40,60,70
169,crobat,2,1.8,75.0,241,poison,flying,85,90,80,130,70,80
170,chinchou,2,0.5,12.0,66,water,electric,75,38,38,67,56,56
171,lanturn,2,1.2,22.5,161,water,electric,125,58,58,67,76,76
172,pichu,2,0.3,2.0,41,electric,,20,40,15,60,35,35
173,cleffa,2,0.3,3.0,44,fairy,,50,25,28,15,45,55
174,igglybuff,2,0.3,1.0,42,normal,fairy,90,30,15,15,40,20
175,togepi,2,0.3,1.5,49,fairy,,35,20,65,20,40,65
176,togetic,2,0.6,3.2,142,fairy,flying,55,40,85,40,80,105
177,natu,2,0.2,2.0,64,psychic,flying,40,50,45,70,70,45
178,xatu,2,1.5,15.0,165,psychic,flying,65,75,70,95,95,70
179,mareep,2,0.6,7.8,56,electric,,55,40,40,35,65,45
180,flaaffy,2,0.8,13.3,128,electric,,70,55,55,45,80,60
181,ampharos,2,1.4,61.5,230,electric,,90,75,85,55,115,90
182,bellossom,2,0.4,5.8,221,grass,,75,80,95,50,90,100
183,marill,2,0.4,8.5,88,water,fairy,70,20,50,40,20,50
184,azumarill,2,0.8,28.5,189,water,fairy,100,50,80,50,60,80
185,sudowoodo,2,1.2,38.0,144,rock,,70,100,115,30,30,65
186,politoed,2,1.1,33.9,225,water,,90,75,75,70,90,100
187,hoppip,2,0.4,0.5,50,grass,flying,35,35,40,50,35,55
188,skiploom,2,0.6,1.0,119,grass,flying,55,45,50,80,45,65
189,jumpluff,2,0.8,3.0,207,grass,flying,75,55,70,110,55,95
190,aipom,2,0.8,11.5,72,normal,,55,70,55,85,40,55
191,sunkern,2,0.3,1.8,36,grass,,30,30,30,30,30,30
192,sunflora,2,0.8,8.5,149,grass,,75,75,55,30,105,85
193,yanma,2,1.2,38.0,78,bug,flying,65,65,45,95,75,45
194,wooper,2,0.4,8.5,42,water,ground,55,45,45,15,25,25
195,quagsire,2,1.4,75.0,151,water,ground,95,85,85,35,65,65
196,espeon,2,0.9,26.5,184,psychic,,65,65,60,110,130,95
197,umbreon,2,1.0,27.0,184,dark,,95,65,110,65,60,130
198,murkrow,2,0.5,2.1,81,dark,flying,60,85,42,91,85,42
199,slowking,2,2.0,79.5,172,water,psychic,95,75,80,30,100,110
200,misdreavus,2,0.7,1.0,87,ghost,,60,60,60,85,85,85
201,unown,2,0.5,5.0,118,psychic,,48,72,48,48,72,48
202,wobbuffet,2,1.3,28.5,142,psychic,,190,33,58,33,33,58
203,girafarig,2,1.5,41.5,159,normal,psychic,70,80,65,85,90,65
204,pineco,2,0.6,7.2,58,bug,,50,65,90,15,35,35
205,forretress,2,1.2,125.8,163,bug,steel,75,90,140,40,60,60
206,dunsparce,2,1.5,14.0,145,normal,,100,70,70,45,65,65
207,gligar,2,1.1,64.8,86,ground,flying,65,75,105,85,35,65
208,steelix,2,9.2,400.0,179,steel,ground,75,85,200,30,55,65
209,snubbull,2,0.6,7.8,60,fairy,,60,80,50,30,40,40
210,granbull,2,1.4,48.7,158,fairy,,90,120,75,45,60,60
211,qwilfish,2,0.5,3.9,88,water,poison,65,95,85,85,55,55
212,scizor,2,1.8,118.0,175,bug,steel,70,130,100,65,55,80
213,shuckle,2,0.6,20.5,177,bug,rock,20,10,230,5,10,230
214,heracross,2,1.5,54.0,175,bug,fighting,80,125,75,85,40,95
215,sneasel,2,0.9,28.0,86,dark,ice,55,95,55,115,35,75
216,teddiursa,2,0.6,8.8,66,normal,,60,80,50,40,50,50
217,ursaring,2,1.8,125.8,175,normal,,90,130,75,55,75,75
218,slugma,2,0.7,35.0,50,fire,,40,40,40,20,70,40
219,magcargo,2,0.8,55.0,151,fire,rock,60,50,120,30,90,80
220,swinub,2,0.4,6.5,50,ice,ground,50,50,40,50,30,30
221,piloswine,2,1.1,55.8,158,ice,ground,100,100,80,50,60,60
222,corsola,2,0.6,5.0,144,water,rock,65,55,95,35,65,95
223,remoraid,2,0.6,12.0,60,water,,35,65,35,65,65,35
224,octillery,2,0.9,28.5,168,water,,75,105,75,45,105,75
225,delibird,2,0.9,16.0,116,ice,flying,45,55,45,75,65,45
226,mantine,2,2.1,220.0,170,water,flying,85,40,70,70,80,140
227,skarmory,2,1.7,50.5,163,steel,flying,65,80,140,70,40,70
228,houndour,2,0.6,10.8,66,dark,fire,45,60,30,65,80,50
229,houndoom,2,1.4,35.0,175,dark,fire,75,90,50,95,110,80
230,kingdra,2,1.8,152.0,243,water,dragon,75,95,95,85,95,95
231,phanpy,2,0.5,33.5,66,ground,,90,60,60,40,40,40
232,donphan,2,1.1,120.0,175,ground,,90,120,120,50,60,60
233,porygon2,2,0.6,32.5,180,normal,,85,80,90,60,105,95
234,stantler,2,1.4,71.2,163,normal,,73,95,62,85,85,65
235,smeargle,2,1.2,58.0,88,normal,,55,20,35,75,20,45
236,tyrogue,2,0.7,21.0,42,fighting,,35,35,35,35,35,35
237,hitmontop,2,1.4,48.0,159,fighting,,50,95,95,70,35,110
238,smoochum,2,0.4,6.0,61,ice,psychic,45,30,15,65,85,65
239,elekid,2,0.6,23.5,72,electric,,45,63,37,95,65,55
240,magby,2,0.7,21.4,73,fire,,45,75,37,83,70,55
241,miltank,2,1.2,75.5,172,normal,,95,80,105,100,40,70
242,blissey,2,1.5,46.8,608,normal,,255,10,10,55,75,135
243,raikou,2,1.9,178.0,261,electric,,90,85,75,115,115,100
244,entei,2,2.1,198.0,261,fire,,115,115,85,100,90,75
245,suicune,2,2.0,187.0,261,water,,100,75,115,85,90,115
246,larvitar,2,0.6,72.0,60,rock,ground,50,64,50,41,45,50
247,pupitar,2,1.2,152.0,144,rock,ground,70,84,70,51,65,70
248,tyranitar,2,2.0,202.0,270,rock,dark,100,134,110,61,95,100
249,lugia,2,5.2,216.0,306,psychic,flying,106,90,130,110,90,154
250,ho-oh,2,3.8,199.0,306,fire,flying,106,130,90,90,110,154
251,celebi,2,0.6,5.0,270,psychic,grass,100,100,100,100,100,100
252,treecko,3,0.5,5.0,62,grass,,40,45,35,70,65,55
253,grovyle,3,0.9,21.6,142,grass,,50,65,45,95,85,65
254,sceptile,3,1.7,52.2,239,grass,,70,85,65,120,105,85
255,torchic,3,0.4,2.5,62,fire,,45,60,40,45,70,50
256,combusken,3,0.9,19.5,142,fire,fighting,60,85,60,55,85,60
257,blaziken,3,1.9,52.0,239,fire,fighting,80,120,70,80,110,70
258,mudkip,3,0.4,7.6,62,water,,50,70,50,40,50,50
259,marshtomp,3,0.7,28.0,142,water,ground,70,85,70,50,60,70
260,swampert,3,1.5,81.9,241,water,ground,100,110,90,60,85,90
261,poochyena,3,0.5,13.6,56,dark,,35,55,35,35,30,30
262,mightyena,3,1.0,37.0,147,dark,,70,90,70,70,60,60
263,zigzagoon,3,0.4,17.5,56,normal,,38,30,41,60,30,41
264,linoone,3,0.5,32.5,147,normal,,78,70,61,100,50,61
265,wurmple,3,0.3,3.6,56,bug,,45,45,35,20,20,30
266,silcoon,3,0.6,10.0,72,bug,,50,35,55,15,25,25
267,beautifly,3,1.0,28.4,178,bug,flying,60,70,50,65,100,50
268,cascoon,3,0.7,11.5,72,bug,,50,35,55,15,25,25
269,dustox,3,1.2,31.6,173,bug,poison,60,50,70,65,50,90
270,lotad,3,0.5,2.6,44,water,grass,40,30,30,30,40,50
271,lombre,3,1.2,32.5,119,water,grass,60,50,50,50,60,70
